question,question_ordinal
Activity limitation due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,0
Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,1
Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,2
Alcohol use among youth,3
Alcohol use before pregnancy,4
All teeth lost among adults aged >= 65 years,5
Amount of alcohol excise tax by beverage type (distilled spirits),6
Amount of alcohol excise tax by beverage type (wine),7
Amount of tobacco product excise tax,8
Amputation of a lower extremity attributable to diabetes,9
Arthritis among adults aged >= 18 years,10
Arthritis among adults aged >= 18 years who are obese,11
Arthritis among adults aged >= 18 years who have diabetes,12
Arthritis among adults aged >= 18 years who have heart disease,13
Asthma mortality rate,14
Asthma prevalence among women aged 18-44 years,15
At least 14 recent mentally unhealthy days among women aged 18-44 years,16
Awareness of high blood pressure among adults aged >= 18 years,17
Awareness of high blood pressure among women aged 18-44 years,18
Binge drinking frequency among adults aged >= 18 years who binge drink,19
Binge drinking intensity among adults aged >= 18 years who binge drink,20
Binge drinking prevalence among adults aged >= 18 years,21
Binge drinking prevalence among women aged 18-44 years,22
Binge drinking prevalence among youth,23
"Cancer of the colon and rectum (colorectal), incidence",24
"Cancer of the colon and rectum (colorectal), mortality",25
"Cancer of the female breast, mortality",26
"Cancer of the female cervix, mortality",27
"Cancer of the lung and bronchus, incidence",28
"Cancer of the lung and bronchus, mortality",29
"Cancer of the oral cavity and pharynx, mortality",30
"Cancer of the prostate, mortality",31
Cholesterol screening among adults aged >= 18 years,32
Chronic liver disease mortality,33
Cigarette smoking before pregnancy,34
Computer use among high school students,35
Current asthma prevalence among adults aged >= 18 years,36
Current cigarette smoking among women aged 18-44 years,37
Current cigarette smoking among youth,38
Current health care coverage among women aged 18-44 years,39
Current lack of health insurance among adults aged 18-64 years,40
Current smokeless tobacco use among adults aged >= 18 years,41
Current smokeless tobacco use among youth,42
Current smoking among adults aged >= 18 years,43
Dental visits among children and adolescents aged 1-17 years,44
Diabetes prevalence among women aged 18-44 years,45
Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,46
Disability among adults aged >= 65 years,47
Emergency department visit rate for asthma,48
Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,49
