Research Activity,Project Title,Topic,Agency and Office Name,Countries,Status
Vaccine Effectiveness Study,National estimates of post-licensure vaccine performance and effectiveness,Vaccine,CDC,Domestic,Planned
Vaccine Effectiveness Case Series Evaluation,Post-vaccination case series,Vaccine,CDC,Domestic,Planned
Vaccine Utilization Study,Evaluating vaccine administration data,Vaccine,CDC,Domestic,Ongoing; data analyzed weekly
Vaccine Safety Surveillance,Monitoring safety and adverse events,Vaccine,CDC,Domestic,Ongoing (VAERS and VSD)
Vaccine Immunogenicity Study,Evaluating immune response to JYNNEOS vaccine,Vaccine,CDC,Domestic,Ongoing; Laboratory work is ongoing. Enrollment for 6-7 month timepoint has begun
Vaccine efficacy,Assessment of antibody response to mpox vaccine,Vaccine,CDC,Domestic International: DRC,Ongoing
Structural biology studies in support of vaccine and molecular therapeutics development,X-ray crystallography studies at the Advanced Photon Source,"Vaccine, Therapeutic",DOE,Domestic,Ongoing
Structural biology studies in support of vaccine and molecular therapeutics development,X-ray crystallography studies at the Stanford Synchrotron Radiation Lightsource (SSRL),"Vaccine, Therapeutic",DOE,Domestic,Ongoing
Observational Study,"Observational studies to understand epidemiological characteristics, changing demographics over time, clinical course of illness, novel transmission routes, and transmission dynamics",Epidemiology,CDC,Domestic,Ongoing; case form data analyzed weekly; serosurveys in select communities underway
Observational Study,Two retrospective seroprevalence surveys in the United States,Epidemiology,CDC,Domestic,"Ongoing laboratory work is complete, analysis ongoing"
Human-Animal Interface Study,"CDC diagnostic laboratory support for mpox in animals for state and local jurisdictions to test submitted animal samples, both domestic and wildlife, for mpox and monitoring suspected and confirmed animal cases",Epidemiology,CDC,Domestic,Ongoing
Human-Animal Environment Study,Assessing mpox infections in animals associated with human cases,Epidemiology,CDC,Domestic,Ongoing
Clinical Specimen Study,Novel specimen validation,Epidemiology,CDC,Domestic,Complete. Manuscript has been published
Molecular Epidemiology Study,Genomic surveillance to monitor viral evolution and antiviral resistance,Epidemiology,CDC,Domestic,Ongoing
Mpox Virus detection,Sequencing monkey pox virus from Chicago area wastewater,Epidemiology,DOE,Domestic,Feasibility studies completed
Evolution of Mpox,Assessment of human enzyme cAPOBEC3 impacts on driving mpox evolution,Epidemiology,DOE,Domestic,Ongoing
Virus genome sequencing,Challenges in sequencing and assembling mpox viral genome,Epidemiology,DOE,Domestic,Ongoing
Molecular Therapeutics,Computational design of potential pan-orthopox anti-viral,Therapeutics,DOE,Domestic,Planned
Animal reservoirs,Investigation of animal reservoirs,Epidemiology,CDC,"Cameroon, Nigeria",Ongoing
Human-animal interface study,Investigation of zoonotic risk factors among mpox cases in Nigeria,Epidemiology,CDC,Nigeria,Planned (normal long-standing program activity)
Mpox virus ecology study,Assessing the ecological aspects of mpox virus in Nigeria: building capacity for field and lab-based investigations,Epidemiology,CDC,Nigeria,Ongoing (normal long-standing program activity)
Human-animal interface/value chain risk study,Examining the human-animal interface: assessing mpox risk along the wild game meat value chain,Epidemiology,CDC,Democratic Republic of the Congo,Ongoing (normal long-standing program activity)
Ecology of suspected reservoirs,Studies to examine the ecology of suspected mpox reservoirs,Epidemiology,CDC,Democratic Republic of the Congo,Ongoing (normal long-standing program activity)
Mpox virus  ecology study,Investigating potential small mammal reservoirs in Sierra Leone,Epidemiology,CDC,Sierra Leone,Ongoing (normal long-standing program activity)
Mpox virus  ecology study and outbreak response,Assessing mpox virus prevalence in small mammals and outbreak response,Epidemiology,CDC,Cameroon,Ongoing
Susceptibility study,"Investigating the susceptibility of white-footed mice (Peromyscus leucopus), rats (rattus rattus), and prairie dogs to 2022 mpox virus infection",Epidemiology,CDC,USA,Ongoing (new activity by program as result of current outbreak)
Medical countermeasures,Testing of medical countermeasures within established MPXV animal models,Epidemiology,CDC,USA,Planned (normal long-standing program activity)
Mpox serological assay development,Develop a mpox virus-specific serologic assay,Epidemiology,CDC,USA,Ongoing
Viral persistence,Identify persistence of mpox virus in bodily fluids,Epidemiology,CDC,USA (Puerto Rico and New York City),Q1 2023 Will start enrollment late March 2023
