,yearstart,yearend,locationabbr,topic,question,datavaluetype,datavalue,stratificationcategory1,stratification1
574690,11.0,10.0,3.0,6.0,152.0,7.0,10.3,1.0,9.0
397261,8.0,7.0,22.0,4.0,72.0,12.0,3988.0,1.0,9.0
921613,10.0,9.0,32.0,11.0,59.0,7.0,24.4,2.0,3.0
354896,5.0,4.0,45.0,4.0,109.0,3.0,101.3,1.0,9.0
146786,4.0,7.0,27.0,3.0,24.0,5.0,45.7,2.0,10.0
117881,3.0,6.0,26.0,3.0,26.0,5.0,27.8,0.0,4.0
420994,10.0,9.0,29.0,7.0,115.0,12.0,,2.0,5.0
324220,11.0,10.0,29.0,4.0,112.0,8.0,256.0,1.0,9.0
617878,7.0,6.0,7.0,0.0,19.0,1.0,3.7,2.0,10.0
95234,0.0,3.0,16.0,3.0,85.0,6.0,20.0,2.0,0.0
622146,13.0,12.0,7.0,2.0,78.0,7.0,,2.0,7.0
1113460,5.0,4.0,48.0,11.0,117.0,2.0,25.3,1.0,9.0
790415,3.0,2.0,21.0,6.0,153.0,2.0,,2.0,8.0
398765,10.0,9.0,21.0,4.0,72.0,12.0,42.0,2.0,0.0
1039587,7.0,6.0,42.0,4.0,131.0,7.0,50.7,2.0,10.0
660872,13.0,12.0,11.0,14.0,52.0,7.0,,2.0,3.0
286821,9.0,8.0,50.0,6.0,69.0,3.0,6.3,2.0,10.0
131758,1.0,4.0,15.0,3.0,27.0,6.0,,2.0,1.0
276880,3.0,2.0,1.0,6.0,69.0,12.0,,2.0,5.0
186252,5.0,8.0,16.0,3.0,29.0,5.0,39.2,2.0,3.0
878780,12.0,11.0,28.0,2.0,83.0,2.0,,2.0,3.0
1084331,6.0,5.0,46.0,11.0,117.0,2.0,20.7,0.0,6.0
406105,4.0,3.0,47.0,7.0,107.0,3.0,50.8,2.0,10.0
504328,12.0,11.0,8.0,14.0,143.0,8.0,756.9,1.0,9.0
30829,6.0,5.0,6.0,2.0,74.0,8.0,,2.0,5.0
189884,0.0,3.0,51.0,3.0,91.0,4.0,30.5,0.0,6.0
882693,8.0,7.0,29.0,7.0,79.0,7.0,56.3,2.0,10.0
356649,4.0,3.0,44.0,4.0,109.0,8.0,30.7,2.0,1.0
604433,11.0,10.0,6.0,2.0,132.0,7.0,,2.0,8.0
444075,6.0,5.0,32.0,7.0,73.0,3.0,179.29,0.0,4.0
887505,7.0,6.0,28.0,16.0,41.0,7.0,,2.0,8.0
